,X_draw_graph_fa-0,X_draw_graph_fa-1
cell_45,-1647.9544216867896,-40230.289396746564
cell_2444,1700.7380680191238,10980.619422025906
cell_2631,1572.6815255777594,13553.124305540801
cell_260,427.273515193488,-37830.388547804854
cell_2308,1721.928147757293,13195.028735001213
cell_2620,1533.225730778052,12276.51448340453
cell_2396,1175.0470470905645,14494.583645420762
cell_279,-757.6511544696172,7908.028955504366
cell_2418,1287.2816262384656,13620.857206586841
cell_1995,-2272.897418193227,-35247.499223523366
cell_2428,1576.1654083953965,13875.500284483669
cell_1454,-457.416256939078,13574.816811591245
cell_1900,-2498.4829032781486,-34689.55869514541
cell_1603,1962.6369512740316,10166.901508069835
cell_1937,-788.8792109955857,13082.697596895105
cell_2579,-74.96594946611762,12728.505205470083
cell_1762,1245.4218025134924,14396.370550337617
cell_2153,123.77416218210573,13981.957298754738
cell_2081,1641.0803069907945,-39893.86767740453
cell_1770,1017.7126450830679,14302.931079329237
cell_1753,2090.8197971029667,12642.723799976155
cell_2485,146.37154900777767,13873.252500590273
cell_1467,1639.9751104647282,10289.543779175921
cell_2424,1101.645781353804,14438.791882737365
cell_1748,879.5456463887363,12935.55395114144
cell_64,-2880.764231389395,-28945.12202499246
cell_1856,-1540.395951402312,13047.791222423046
cell_2464,347.03999579057955,12819.1559089915
cell_2274,954.9164434706162,12251.446528494727
cell_1787,-2148.02248172637,-37563.44975909065
cell_79,-6191.0217815834985,11856.77319262704
cell_2530,1732.8685102703298,12383.99230475951
cell_2181,-280.3481598355493,-41718.146888852316
cell_1756,-323.9243238457025,13983.957141692623
cell_2468,1669.403260048787,13471.084107128414
cell_2174,1867.895858804655,14499.99344462581
cell_1563,2540.8311438364217,14575.24186205125
cell_1636,518.5679950991987,13684.363029966278
cell_1724,2399.476324080093,12578.174533905189
cell_1789,505.54287372028926,11856.194710858284
cell_1801,-499.5392026471262,-40061.823813845054
cell_1767,1180.8905581575102,13845.61284282696
cell_2540,2181.5143744801085,11420.65199138337
cell_2417,2105.03537266071,12151.452874005596
cell_2381,1650.915139925705,12817.62383671526
cell_55,-1466.557777677748,-37374.14474338253
cell_2020,299.4318143606485,14322.713024454624
cell_2253,1706.5974782124756,13550.428613303866
cell_1869,-2644.0396590710648,-34420.289074024935
cell_2386,1795.98703651022,14073.307749169186
